date,region,year,quarter,index_nsa,index_sa,pct_change_prev_q_nsa,pct_change_prev_q_sa,pct_change_prev_4q_nsa,pct_change_prev_4q_sa
1991-01-01,USA,1991,1,100,100,NA,NA,NA,NA
1991-04-01,USA,1991,2,100.52,100.01,0.0052,1e-4,NA,NA
1991-07-01,USA,1991,3,100.81,100.18,0.0029,0.0017,NA,NA
1991-10-01,USA,1991,4,101.45,101.05,0.0064,0.0087,NA,NA
1992-01-01,USA,1992,1,102.25,102.27,0.0079,0.012,0.0225,0.0227
1992-04-01,USA,1992,2,102.65,102.12,0.0039,-0.0014,0.0212,0.0212
1992-07-01,USA,1992,3,103.64,102.96,0.0096,0.0082,0.0281,0.0278
1992-10-01,USA,1992,4,104.16,103.77,0.005,0.0079,0.0267,0.0269
1993-01-01,USA,1993,1,103.77,103.81,-0.0038,4e-4,0.0148,0.0151
1993-04-01,USA,1993,2,105.42,104.86,0.0159,0.0101,0.027,0.0268
1993-07-01,USA,1993,3,106.4,105.65,0.0093,0.0075,0.0266,0.0261
1993-10-01,USA,1993,4,107,106.65,0.0056,0.0095,0.0273,0.0278
1994-01-01,USA,1994,1,107.54,107.61,0.005,0.009,0.0363,0.0366
1994-04-01,USA,1994,2,109.09,108.47,0.0144,0.008,0.0348,0.0344
1994-07-01,USA,1994,3,109.97,109.14,0.008,0.0061,0.0335,0.033
1994-10-01,USA,1994,4,109.97,109.67,0,0.0049,0.0277,0.0283
1995-01-01,USA,1995,1,110.24,110.33,0.0025,0.006,0.0251,0.0253
1995-04-01,USA,1995,2,111.68,111.01,0.0131,0.0061,0.0238,0.0234
1995-07-01,USA,1995,3,112.9,112.01,0.0109,0.009,0.0267,0.0263
1995-10-01,USA,1995,4,112.91,112.67,1e-4,0.006,0.0267,0.0273
1996-01-01,USA,1996,1,113.55,113.65,0.0057,0.0087,0.03,0.0301
1996-04-01,USA,1996,2,115.13,114.38,0.0139,0.0064,0.0308,0.0304
1996-07-01,USA,1996,3,116.04,115.1,0.0079,0.0063,0.0277,0.0276
1996-10-01,USA,1996,4,115.97,115.78,-6e-4,0.0059,0.0271,0.0275
1997-01-01,USA,1997,1,116.4,116.5,0.0037,0.0062,0.0251,0.0251
1997-04-01,USA,1997,2,118.27,117.46,0.0161,0.0083,0.0273,0.027
1997-07-01,USA,1997,3,119.28,118.31,0.0085,0.0072,0.028,0.0279
1997-10-01,USA,1997,4,119.75,119.58,0.0039,0.0107,0.0326,0.0329
1998-01-01,USA,1998,1,120.97,121.08,0.0102,0.0125,0.0393,0.0393
1998-04-01,USA,1998,2,123.63,122.75,0.022,0.0138,0.0453,0.045
1998-07-01,USA,1998,3,125.37,124.35,0.0141,0.0131,0.0511,0.0511
1998-10-01,USA,1998,4,126.55,126.39,0.0094,0.0164,0.0568,0.0569
1999-01-01,USA,1999,1,128.1,128.22,0.0123,0.0145,0.059,0.059
1999-04-01,USA,1999,2,131.08,130.12,0.0232,0.0148,0.0603,0.0601
1999-07-01,USA,1999,3,133.23,132.13,0.0164,0.0154,0.0627,0.0626
1999-10-01,USA,1999,4,134.26,134.1,0.0078,0.0149,0.061,0.061
2000-01-01,USA,2000,1,136.32,136.47,0.0153,0.0177,0.0642,0.0643
2000-04-01,USA,2000,2,139.79,138.76,0.0254,0.0168,0.0664,0.0664
2000-07-01,USA,2000,3,142.13,140.93,0.0167,0.0156,0.0668,0.0666
2000-10-01,USA,2000,4,143.59,143.4,0.0103,0.0175,0.0694,0.0693
2001-01-01,USA,2001,1,145.85,146.04,0.0158,0.0184,0.0699,0.0702
2001-04-01,USA,2001,2,149.48,148.39,0.0249,0.0161,0.0693,0.0694
2001-07-01,USA,2001,3,151.97,150.65,0.0167,0.0152,0.0693,0.0689
2001-10-01,USA,2001,4,153.25,153.03,0.0084,0.0158,0.0673,0.0672
2002-01-01,USA,2002,1,155.28,155.54,0.0132,0.0164,0.0646,0.065
2002-04-01,USA,2002,2,159.56,158.4,0.0276,0.0184,0.0675,0.0675
2002-07-01,USA,2002,3,162.9,161.42,0.0209,0.0191,0.0719,0.0715
2002-10-01,USA,2002,4,164.92,164.67,0.0124,0.0201,0.0762,0.0761
2003-01-01,USA,2003,1,167.19,167.55,0.0138,0.0175,0.0768,0.0772
2003-04-01,USA,2003,2,171.51,170.24,0.0258,0.016,0.0749,0.0747
2003-07-01,USA,2003,3,175.25,173.6,0.0218,0.0198,0.0758,0.0754
2003-10-01,USA,2003,4,177.75,177.5,0.0143,0.0225,0.0778,0.0779
2004-01-01,USA,2004,1,180.98,181.44,0.0182,0.0222,0.0825,0.0829
2004-04-01,USA,2004,2,187.48,186.01,0.0359,0.0252,0.0931,0.0927
2004-07-01,USA,2004,3,192.68,190.81,0.0278,0.0258,0.0995,0.0991
2004-10-01,USA,2004,4,195.73,195.51,0.0158,0.0246,0.1012,0.1015
2005-01-01,USA,2005,1,199.77,200.36,0.0206,0.0248,0.1038,0.1043
2005-04-01,USA,2005,2,207.4,205.66,0.0382,0.0265,0.1063,0.1056
2005-07-01,USA,2005,3,213.23,211.09,0.0281,0.0264,0.1067,0.1063
2005-10-01,USA,2005,4,215.71,215.57,0.0116,0.0212,0.1021,0.1026
2006-01-01,USA,2006,1,217.96,218.72,0.0104,0.0146,0.0911,0.0916
2006-04-01,USA,2006,2,222.24,220.23,0.0196,0.0069,0.0715,0.0708
2006-07-01,USA,2006,3,222.9,220.56,0.003,0.0015,0.0453,0.0449
2006-10-01,USA,2006,4,221.68,221.6,-0.0055,0.0047,0.0277,0.028
2007-01-01,USA,2007,1,221.99,222.93,0.0014,0.006,0.0185,0.0193
2007-04-01,USA,2007,2,224.49,222.31,0.0113,-0.0028,0.0101,0.0095
2007-07-01,USA,2007,3,221.87,219.45,-0.0117,-0.0129,-0.0046,-0.005
2007-10-01,USA,2007,4,215.51,215.44,-0.0287,-0.0183,-0.0278,-0.0278
2008-01-01,USA,2008,1,209.36,210.5,-0.0285,-0.0229,-0.0569,-0.0558
2008-04-01,USA,2008,2,206.72,204.59,-0.0126,-0.0281,-0.0792,-0.0797
2008-07-01,USA,2008,3,201.76,199.42,-0.024,-0.0253,-0.0906,-0.0913
2008-10-01,USA,2008,4,193.68,193.55,-0.04,-0.0294,-0.1013,-0.1016
2009-01-01,USA,2009,1,191.04,192.37,-0.0137,-0.0061,-0.0875,-0.0861
2009-04-01,USA,2009,2,191.75,189.68,0.0037,-0.014,-0.0724,-0.0729
2009-07-01,USA,2009,3,191.19,188.81,-0.0029,-0.0046,-0.0524,-0.0532
2009-10-01,USA,2009,4,188.86,188.7,-0.0122,-5e-4,-0.0249,-0.0251
2010-01-01,USA,2010,1,185.42,186.98,-0.0182,-0.0091,-0.0294,-0.028
2010-04-01,USA,2010,2,188.16,186.01,0.0148,-0.0052,-0.0187,-0.0193
2010-07-01,USA,2010,3,185.47,182.97,-0.0143,-0.0163,-0.03,-0.0309
2010-10-01,USA,2010,4,181.29,181.15,-0.0225,-0.01,-0.0401,-0.04
2011-01-01,USA,2011,1,175.43,177.11,-0.0323,-0.0223,-0.053900000000000003,-0.0528
2011-04-01,USA,2011,2,177.75,175.59,0.0132,-0.0086,-0.0553,-0.0561
2011-07-01,USA,2011,3,178.66,176.12,0.0051,0.0031,-0.0367,-0.0374
2011-10-01,USA,2011,4,176.48,176.43,-0.0122,0.0018,-0.0266,-0.026
2012-01-01,USA,2012,1,175.47,177.21,-0.0057,0.0044,2e-4,6e-4
2012-04-01,USA,2012,2,182.33,179.97,0.0391,0.0156,0.0258,0.025
2012-07-01,USA,2012,3,184.86,182.15,0.0139,0.0121,0.0347,0.0342
2012-10-01,USA,2012,4,184.79,184.9,-4e-4,0.0151,0.0471,0.048
2013-01-01,USA,2013,1,186.95,188.74,0.0116,0.0208,0.0654,0.065
2013-04-01,USA,2013,2,195.12,192.48,0.0437,0.0198,0.0702,0.0695
2013-07-01,USA,2013,3,198.36,195.47,0.0166,0.0156,0.073,0.0731
2013-10-01,USA,2013,4,197.17,197.43,-0.006,0.01,0.0669,0.0678
2014-01-01,USA,2014,1,198.11,199.82,0.0048,0.0121,0.0597,0.0587
2014-04-01,USA,2014,2,204.39,201.53,0.0317,0.0086,0.0475,0.047
2014-07-01,USA,2014,3,206.63,203.72,0.011,0.0109,0.0417,0.0422
2014-10-01,USA,2014,4,205.96,206.33,-0.0033,0.0128,0.0446,0.0451
2015-01-01,USA,2015,1,207.61,209.17,0.008,0.0137,0.048,0.0468
2015-04-01,USA,2015,2,214.91,211.86,0.0352,0.0129,0.0515,0.0512
2015-07-01,USA,2015,3,217.34,214.44,0.0113,0.0122,0.0518,0.0526
2015-10-01,USA,2015,4,217.01,217.45,-0.0015,0.0141,0.0537,0.053900000000000003
2016-01-01,USA,2016,1,218.8,220.17,0.0082,0.0125,0.053900000000000003,0.0526
2016-04-01,USA,2016,2,226.53,223.34,0.0353,0.0144,0.054,0.0542
2016-07-01,USA,2016,3,229.58,226.66,0.0135,0.0149,0.0563,0.057
2016-10-01,USA,2016,4,229.68,230.17,4e-4,0.0154,0.0584,0.0585
2017-01-01,USA,2017,1,231.96,233.1,0.0099,0.0128,0.0601,0.0587
2017-04-01,USA,2017,2,240.44,237.12,0.0366,0.0172,0.0614,0.0617
2017-07-01,USA,2017,3,243.63,240.71,0.0132,0.0151,0.0612,0.0619
2017-10-01,USA,2017,4,243.84,244.33,9e-4,0.0151,0.0617,0.0616
2018-01-01,USA,2018,1,247.87,248.85,0.0165,0.0185,0.0686,0.0675
2018-04-01,USA,2018,2,255.21,251.73,0.0296,0.0116,0.0614,0.0616
2018-07-01,USA,2018,3,257.88,254.93,0.0104,0.0127,0.0585,0.0591
2018-10-01,USA,2018,4,257.17,257.71,-0.0027,0.0109,0.0547,0.0548
2019-01-01,USA,2019,1,260,260.84,0.011,0.0121,0.0489,0.0482
2019-04-01,USA,2019,2,267.63,263.89,0.0293,0.0117,0.0486,0.0483
2019-07-01,USA,2019,3,270.3,267.36,0.01,0.0131,0.0482,0.0487
2019-10-01,USA,2019,4,271.18,271.82,0.0032,0.0167,0.0545,0.0548
2020-01-01,USA,2020,1,276.22,277.05,0.0186,0.0192,0.0624,0.0622
2020-04-01,USA,2020,2,282.87,278.71,0.0241,0.006,0.057,0.0561
2020-07-01,USA,2020,3,292.32,289.21,0.0334,0.0377,0.0814,0.0817
2020-10-01,USA,2020,4,301.15,302.09,0.0302,0.0445,0.1105,0.1114
2021-01-01,USA,2021,1,312.12,313.01,0.0364,0.0361,0.13,0.1298
2021-04-01,USA,2021,2,332.34,327.14,0.0648,0.0451,0.1749,0.1738
2021-07-01,USA,2021,3,345.48,341.87,0.0395,0.045,0.1819,0.1821
2021-10-01,USA,2021,4,353.47,354.81,0.0231,0.0379,0.1737,0.1745
2022-01-01,USA,2022,1,369,370.02,0.0439,0.0429,0.1822,0.1821
2022-04-01,USA,2022,2,388.2,381.8,0.052,0.0318,0.1681,0.1671
2022-07-01,USA,2022,3,385.36,381.36,-0.0073,-0.0011,0.1154,0.1155
2022-10-01,USA,2022,4,380.75,382.39,-0.012,0.0027,0.0772,0.0777
2023-01-01,USA,2023,1,384.73,385.71,0.0105,0.0087,0.0426,0.0424
2023-04-01,USA,2023,2,399.78,393.04,0.0391,0.019,0.0298,0.0294
2023-07-01,USA,2023,3,405.74,401.64,0.0149,0.0219,0.0529,0.0532
2023-10-01,USA,2023,4,404.91,406.66,-0.002,0.0125,0.0635,0.0635
2024-01-01,USA,2024,1,410.17,411.09,0.013,0.0109,0.0661,0.0658
2024-04-01,USA,2024,2,423.04,415.93,0.0314,0.0118,0.0582,0.0582
2024-07-01,USA,2024,3,424.11,419.91,0.0025,0.0096,0.0453,0.0455
2024-10-01,USA,2024,4,423.89,425.59,-5e-4,0.0135,0.0469,0.0466
2025-01-01,USA,2025,1,427.94,428.73,0.0096,0.0074,0.0433,0.0429
2025-04-01,USA,2025,2,435.91,428.68,0.0186,-1e-4,0.0304,0.0307
2025-07-01,USA,2025,3,433.56,429.35,-0.0054,0.0015,0.0223,0.0225
